state,code,procedure,n_hospitals,median_price,lowest_price,highest_price,shoppable_volume,total_volume,conservative_per_patient,conservative_total,aspirational_per_patient,aspirational_total
CA,29827,Shoulder arthroscopy,43,5259.0,811.0,5900.0,3901,6502,4448.0,17351967.0,5089.0,33086174.0
CA,43239,Upper GI endoscopy,67,1053.0,169.0,764.0,99528,165880,884.0,88007292.0,596.0,98805322.0
CA,45378,"Colonoscopy, diagnostic",64,1134.0,212.0,749.0,20431,27242,922.0,18828828.0,536.0,14613460.0
CA,47562,Lap. cholecystectomy,60,6162.0,1485.0,4770.0,564,1411,4677.0,2639943.0,3285.0,4635255.0
CA,70553,Brain MRI w/ contrast,68,1771.0,743.0,4787.0,56382,80546,1028.0,57946551.0,4043.0,325674240.0
CA,74177,CT scan abdomen,70,2039.0,246.0,4020.0,188988,269984,1793.0,338828729.0,3774.0,1018955100.0
CO,27130,Hip replacement,25,19459.0,13300.0,49825.0,546,683,6159.0,3365463.0,36525.0,24946310.0
CO,27447,Knee replacement,24,17406.0,12284.0,26884.0,580,683,5123.0,2973966.0,14600.0,9971919.0
CO,29827,Shoulder arthroscopy,26,6803.0,4795.0,10651.0,1210,2018,2008.0,2431180.0,5856.0,11817560.0
CO,43239,Upper GI endoscopy,31,1675.0,798.0,4618.0,11997,19996,877.0,10521660.0,3820.0,76381940.0
CO,45378,"Colonoscopy, diagnostic",29,1818.0,774.0,3136.0,1787,2383,1045.0,1866800.0,2362.0,5629254.0
CO,47562,Lap. cholecystectomy,29,5963.0,5960.0,18128.0,82,207,3.0,210.0,12167.0,2518598.0
CO,70553,Brain MRI w/ contrast,29,1164.0,928.0,2681.0,11728,16755,236.0,2764962.0,1752.0,29362153.0
CO,74177,CT scan abdomen,31,1275.0,902.0,3320.0,47133,67334,373.0,17569508.0,2418.0,162793636.0
CT,27130,Hip replacement,2,13553.0,12707.0,14398.0,457,572,846.0,386911.0,1691.0,967277.0
CT,27447,Knee replacement,5,13353.0,8639.0,45965.0,486,572,4714.0,2291841.0,37326.0,21350556.0
